Row Labels,All Fields,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
More than 3,110,12,26,16,5,38,7,6
Between 1 and 3,169,53,38,14,5,17,32,10
Less than 1,83,31,19,11,8,1,9,4
None,87,29,13,6,7,3,20,9
