Field of Study,All Years,2009,2010,2011,2012,2013
Social Science,0.06013363,0.058823529,0.039215686,0.064516129,0.055555556,0.072727273
Science,0.053452116,0.078431373,0.117647059,0.053763441,0.034722222,0.036363636
Arch Related,0.832962138,0.823529412,0.784313725,0.849462366,0.840277778,0.836363636
Humanities,0.053452116,0.039215686,0.058823529,0.032258065,0.069444444,0.054545455
