Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
None,41,9,8,2,4,6,9,3
1,91,36,20,8,6,5,9,7
2,72,22,13,11,4,6,12,4
3,87,29,16,6,5,10,12,9
4,44,9,13,8,1,3,8,2
5,37,6,13,7,1,6,3,1
> 5,77,14,13,5,4,23,15,3
