Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Less than 20,7,1,,,,,5,1
20 - 24,5,1,1,1,,1,,1
25 - 29,5,1,,1,,1,2,0
30 - 34,3,,,1,1,,1,0
35 - 39,25,5,2,2,5,2,7,2
40 - 44,138,30,33,21,13,11,21,9
45 - 49,96,30,27,8,,7,18,6
50 - 54,70,26,10,8,3,12,7,4
55 - 59,43,16,12,2,,9,3,1
55 - 60,1,,1,,,,,0
60 - 64,27,7,3,2,1,10,2,2
65 - 69,8,2,,1,1,3,1,0
70 - 74,8,4,1,,,2,,1
75 - 79,5,,3,,,1,,1
80 or more,8,2,3,,1,,1,1
