,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Better pay,161,35,44,20,9,21,23,9
Better benefits,106,32,32,9,5,11,10,7
Better work environment,125,32,30,15,6,19,16,7
Work was more interesting,138,32,37,16,8,20,17,8
Better location,52,7,16,8,3,5,12,1
Better hours,60,11,17,7,5,10,7,3
More independence,63,15,15,6,3,8,10,6
Problems with co-workers or boss,31,6,7,2,2,8,4,2
More responsibility,109,26,23,10,6,17,20,7
Have not changed jobs,171,53,29,15,12,26,26,10
