,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Owning your own business,187,55,53,20,4,31,13,11
Teaching,153,50,45,26,5,5,11,11
Working for a small business,97,36,18,6,8,8,16,5
Working for a corporation,79,18,14,9,1,14,14,9
Retired,2,2,0,0,0,0,0,0
Winning an important award,56,18,15,6,3,2,8,4
Different field of work,56,10,14,5,3,7,10,7
Same company but further up,147,42,24,13,7,24,30,7
Same place,29,5,5,1,4,7,5,2
