Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Full-time,372,107,81,39,22,48,54,21
Self-employed or Freelance,61,17,12,5,2,9,9,7
Other,16,1,3,3,1,2,5,1
Row Labels,All Years,2009,2010,2011,2012,2013
Full-time,372,42,38,77,124,91
Self-employed or Freelance,61,7,11,15,15,13
Other,16,2,2,1,5,6
