All Majors,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
< 1 month,147,45,23,12,7,27,23,10
1 - 3 months,136,41,40,11,4,14,15,11
3 - 6 months,94,27,20,18,2,8,14,5
6 - 12 months,61,11,13,4,11,7,12,3
> 1 year,11,1,,2,1,3,4,0
