Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
1,182,54,32,16,12,32,26,10
2,172,45,42,20,8,18,27,12
3,79,21,19,8,4,8,14,5
More than 3,16,5,3,3,1,1,1,2
Row Labels,Grand Total,2009,2010,2011,2012,2013
1,182,9,16,26,64,67
2,172,23,21,40,54,34
3,79,15,10,22,25,7
More than 3,16,4,4,5,1,2
