Age Range,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
20 - 24,5,,1,,,3,1,
25 - 29,137,39,26,18,13,4,30,7
30 - 34,80,18,18,6,8,9,13,8
35 - 39,4,3,,,,1,,
40 - 44,1,,,,,,1,
50 +,0,0,,,,,,
20 - 24,2,,1,1,,,,
25 - 29,103,38,23,8,3,11,16,4
30 - 34,93,24,24,9,,24,7,5
35 - 39,19,2,2,4,1,6,,4
40 - 44,3,,,1,,1,,1
50 +,1,1,,,,,,
