Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Already licensed,28,1,12,11,,2,1,1
No concrete plans,73,15,15,9,3,4,22,5
No,61,10,9,4,1,17,12,8
No official license in the field,70,2,1,3,17,32,11,4
In the next 3 years,175,78,44,18,2,4,19,10
In the next 5 years,39,18,14,2,2,,2,1
