Index,What degree did you receive at GSAPP?,In what year did you graduate from GSAPP?,How many years of professional experience did you have before attending GSAPP?,Did you do any summer internships while you attended GSAPP?,How long after graduating from GSAPP did you start working?
111,M.Arch,2013,Between 1 and 3,More than 2,Less than 1 month
112,M.Arch,2010,Between 1 and 3,None,Less than 1 month
113,MS.AAD,2012,None,None,Between 1 and 3 months
114,MS.HP,2013,Less than 1,1,Less than 1 month
115,MS.RED,2011,More than 3,1,Between 3 and 6 months
116,MS.AAD,2009,More than 3,None,Between 3 and 6 months
117,MS.UP,2011,Less than 1,1,Between 6 months and 1 year
118,MS.AAD,2011,Between 1 and 3,None,Less than 1 month
119,M.Arch,2013,Between 1 and 3,1,Less than 1 month
120,MS.RED,2009,More than 3,None,Less than 1 month
121,M.Arch,2011,Less than 1,None,Between 6 months and 1 year
122,MS.UP,2012,Between 1 and 3,1,Less than 1 month
123,MS.AAD,2013,Less than 1,None,Between 1 and 3 months
124,MS.AAD,2011,Between 1 and 3,None,Between 3 and 6 months
125,MS.RED,2013,More than 3,1,Between 3 and 6 months
126,M.Arch,2013,More than 3,1,Between 3 and 6 months
127,MS.AUD,2012,More than 3,None,Less than 1 month
128,MS.UP,2012,None,2,Between 3 and 6 months
129,MS.UP,2012,None,2,More than 1 year
130,MS.AUD,2011,More than 3,None,Between 3 and 6 months
131,M.Arch,2013,Between 1 and 3,2,Less than 1 month
132,M.Arch,2012,Between 1 and 3,2,Less than 1 month
133,MS.AAD,2012,More than 3,None,Between 6 months and 1 year
134,M.Arch,2010,Between 1 and 3,1,Between 1 and 3 months
135,Other,2013,Less than 1,1,Less than 1 month
136,M.Arch,2012,Between 1 and 3,2,Between 1 and 3 months
137,MS.HP,2012,Between 1 and 3,2,Between 6 months and 1 year
138,M.Arch,2009,None,1,More than 1 year
139,MS.RED,2009,More than 3,None,Between 1 and 3 months
140,MS.AAD,2013,Between 1 and 3,None,Between 1 and 3 months
141,M.Arch,2013,None,None,Between 1 and 3 months
142,M.Arch,2013,Between 1 and 3,1,Between 1 and 3 months
143,M.Arch,2011,Between 1 and 3,2,Less than 1 month
144,Other,2013,Less than 1,More than 2,Between 1 and 3 months
145,MS.AUD,2013,More than 3,None,Between 3 and 6 months
146,M.Arch,2011,Less than 1,None,Between 1 and 3 months
147,M.Arch,2010,Between 1 and 3,1,Between 3 and 6 months
148,MS.RED,2013,Between 1 and 3,1,Between 6 months and 1 year
149,MS.AAD,2011,Between 1 and 3,None,Less than 1 month
150,M.Arch,2012,Between 1 and 3,1,Between 1 and 3 months
151,M.Arch,2013,Between 1 and 3,1,Between 1 and 3 months
152,MS.AAD,2010,More than 3,None,Less than 1 month
153,MS.AAD,2013,Between 1 and 3,None,Between 3 and 6 months
154,MS.AAD,2012,None,None,Between 6 months and 1 year
155,MS.AUD,2013,Less than 1,None,Between 6 months and 1 year
156,MS.AUD,2012,Between 1 and 3,None,Between 3 and 6 months
157,M.Arch,2013,None,2,Between 1 and 3 months
158,MS.HP,2013,Less than 1,1,Between 6 months and 1 year
159,Other,2011,Between 1 and 3,None,Between 3 and 6 months
160,Other,2012,None,None,Between 6 months and 1 year
161,M.Arch,2013,Less than 1,More than 2,Less than 1 month
162,MS.UP,2012,None,None,Less than 1 month
163,M.Arch,2012,None,2,Less than 1 month
164,MS.AAD,2010,More than 3,None,Between 1 and 3 months
165,MS.UP,2012,None,1,Between 1 and 3 months
166,M.Arch,2011,Less than 1,None,Less than 1 month
167,MS.UP,2010,None,2,Between 6 months and 1 year
168,MS.HP,2010,Less than 1,1,Between 6 months and 1 year
169,M.Arch,2010,Less than 1,1,Between 1 and 3 months
170,MS.RED,2012,More than 3,None,Between 1 and 3 months
171,Other,2013,More than 3,None,Between 1 and 3 months
172,MS.RED,2012,More than 3,None,Between 6 months and 1 year
173,M.Arch,2010,Less than 1,1,Less than 1 month
174,M.Arch,2012,Between 1 and 3,None,Between 3 and 6 months
175,MS.UP,2013,Between 1 and 3,1,Less than 1 month
176,MS.AAD,2012,Between 1 and 3,None,Less than 1 month
177,MS.AAD,2011,Less than 1,None,Between 1 and 3 months
178,MS.UP,2013,More than 3,1,Between 3 and 6 months
179,Other,2011,More than 3,None,Less than 1 month
180,MS.UP,2012,Between 1 and 3,2,Between 6 months and 1 year
181,MS.AAD,2011,More than 3,1,Between 1 and 3 months
182,MS.UP,2009,Between 1 and 3,1,Between 1 and 3 months
183,MS.AUD,2010,Between 1 and 3,None,Between 3 and 6 months
184,MS.AAD,2011,Between 1 and 3,None,Between 3 and 6 months
185,MS.UP,2010,None,2,Less than 1 month
186,M.Arch,2013,Less than 1,1,Between 1 and 3 months
187,Other,2012,None,2,Less than 1 month
188,MS.RED,2012,More than 3,None,Less than 1 month
189,M.Arch,2013,Less than 1,2,Less than 1 month
190,MS.AUD,2012,Less than 1,None,Between 6 months and 1 year
191,MS.HP,2009,Less than 1,1,Less than 1 month
192,MS.AAD,2011,Between 1 and 3,None,Between 1 and 3 months
193,MS.RED,2009,Between 1 and 3,1,Less than 1 month
194,MS.RED,2012,More than 3,None,Between 3 and 6 months
