Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
1 - 10,128,37,25,13,10,15,15,13
10 - 50,126,41,41,9,8,12,12,3
50 - 100,36,11,6,7,3,4,4,1
More than 100,159,36,24,18,4,28,37,12
