Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Full-time,372,107,81,39,22,48,54,21
Self-employed or Freelance,61,17,12,5,2,9,9,7
Other,16,1,3,3,1,2,5,1
