Row Labels,All Salaries,< $30,$30 - $40,$40 - $50,$50 - $60,$60 - $70,$70 - $80,$80 - $90,$90 - $100,> $100
1 - 10,128,17,10,26,31,14,8,7,2,13
10 - 50,126,4,12,35,40,13,9,3,1,9
50 - 100,36,2,,8,7,10,3,2,,4
More than 100,159,10,3,20,49,27,16,8,4,22
