Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Less than 10,203,70,36,18,15,22,27,15
Between 10 and 25,102,30,15,6,5,14,24,8
Between 25 and 50,62,13,16,9,1,14,6,3
More than 50,82,12,29,14,4,9,11,3
