,2009,2010,2011,2012,2013,Grand Total
Social Science,0.058823529,0.039215686,0.064516129,0.055555556,0.072727273,0.06013363
Science,0.078431373,0.117647059,0.053763441,0.034722222,0.036363636,0.053452116
Arch Related,0.823529412,0.784313725,0.849462366,0.840277778,0.836363636,0.832962138
Humanities,0.039215686,0.058823529,0.032258065,0.069444444,0.054545455,0.053452116
