Field of Study,All Fields,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Similar to Gradschool,374,106,96,47,21,45,40,19
Social Science,27,3,0,0,0,4,15,5
Science,24,8,0,0,0,7,7,2
Humanities,24,8,0,0,4,3,6,3
