Type,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Does not apply,26,10,4,0,0,4,6,2
Leave work early,31,4,6,6,5,0,6,4
Extra days off,103,19,22,7,13,8,21,13
Dinner and/or cab home,8,7,1,0,0,0,0,0
Occasional party,29,11,7,3,3,1,1,3
Payment,68,19,15,7,4,4,18,1
Does not compensate,223,60,52,29,7,40,24,11
