Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
1,182,54,32,16,12,32,26,10
2,172,45,42,20,8,18,27,12
3,79,21,19,8,4,8,14,5
4,9,4,2,2,,,,1
5,2,,1,1,,,,0
More than 5,5,1,,,1,1,1,1
